"CubeId";"zimoma"
"PublishingDate";"2024-11-01 14:30"

"Date";"D0";"Value"
"2006-09";"3M1";"5.37"
"2006-09";"TONA";"0.339"
"2006-09";"SONIA";"4.8972"
"2006-09";"3M3";"5.074"
"2006-09";"ESTR";
"2006-09";"EURIBOR";"3.417"
"2006-10";"SARON";"1.627171"
"2006-10";"1TGT";"1.59"
"2006-10";"EG3M";"1.681"
"2006-10";"SOFR";
"2006-10";"3M1";"5.37063"
"2006-10";"TONA";"0.256"
"2006-10";"SONIA";"4.8876"
"2006-10";"3M3";"5.1925"
"2006-10";"ESTR";
"2006-10";"EURIBOR";"3.564"
"2006-11";"SARON";"1.768215"
"2006-11";"1TGT";"1.87"
"2006-11";"EG3M";"1.712"
"2006-11";"SOFR";
"2006-11";"3M1";"5.37"
"2006-11";"TONA";"0.271"
"2006-11";"SONIA";"5.078"
"2006-11";"3M3";"5.25"
"2006-11";"ESTR";
"2006-11";"EURIBOR";"3.636"
"2006-12";"SARON";"1.897995"
"2006-12";"1TGT";"1.94"
"2006-12";"EG3M";"1.88"
"2006-12";"SOFR";
"2006-12";"3M1";"5.36"
"2006-12";"TONA";"0.275"
"2006-12";"SONIA";"5.201"
"2006-12";"3M3";"5.32"
"2006-12";"ESTR";
"2006-12";"EURIBOR";"3.725"
"2007-01";"SARON";"1.905279"
"2007-01";"1TGT";"2.02"
"2007-01";"EG3M";"1.996"
"2007-01";"SOFR";
"2007-01";"3M1";"5.36"
"2007-01";"TONA";"0.282"
"2007-01";"SONIA";"5.3237"
"2007-01";"3M3";"5.59"
"2007-01";"ESTR";
"2007-01";"EURIBOR";"3.782"
"2007-02";"SARON";"1.835111"
"2007-02";"1TGT";"1.94"
"2007-02";"EG3M";"2.04"
"2007-02";"SOFR";
"2007-02";"3M1";"5.34813"
"2007-02";"TONA";"0.589"
"2007-02";"SONIA";"5.3178"
"2007-02";"3M3";"5.53"
"2007-02";"ESTR";
"2007-02";"EURIBOR";"3.848"
"2007-03";"SARON";"1.979335"
"2007-03";"1TGT";"1.98"
"2007-03";"EG3M";"2.1"
"2007-03";"SOFR";
"2007-03";"3M1";"5.35"
"2007-03";"TONA";"0.715"
"2007-03";"SONIA";"5.3123"
"2007-03";"3M3";"5.61688"
"2007-03";"ESTR";
"2007-03";"EURIBOR";"3.924"
"2007-04";"SARON";"2.066636"
"2007-04";"1TGT";"2.1"
"2007-04";"EG3M";"2.2"
"2007-04";"SOFR";
"2007-04";"3M1";"5.355"
"2007-04";"TONA";"0.539"
"2007-04";"SONIA";"5.2935"
"2007-04";"3M3";"5.72625"
"2007-04";"ESTR";
"2007-04";"EURIBOR";"4.017"
"2007-05";"SARON";"2.165807"
"2007-05";"1TGT";"2.18"
"2007-05";"EG3M";"2.22"
"2007-05";"SOFR";
"2007-05";"3M1";"5.36"
"2007-05";"TONA";"0.544"
"2007-05";"SONIA";"5.5491"
"2007-05";"3M3";"5.81063"
"2007-05";"ESTR";
"2007-05";"EURIBOR";"4.122"
"2007-06";"SARON";"2.418879"
"2007-06";"1TGT";"2.56"
"2007-06";"EG3M";"2.432"
"2007-06";"SOFR";
"2007-06";"3M1";"5.36"
"2007-06";"TONA";"0.605"
"2007-06";"SONIA";"6.4568"
"2007-06";"3M3";"6.00375"
"2007-06";"ESTR";
"2007-06";"EURIBOR";"4.175"
"2007-07";"SARON";"2.490651"
"2007-07";"1TGT";"2.5"
"2007-07";"EG3M";"2.476"
"2007-07";"SOFR";
"2007-07";"3M1";"5.35866"
"2007-07";"TONA";"0.516"
"2007-07";"SONIA";"5.7774"
"2007-07";"3M3";"6.04313"
"2007-07";"ESTR";
"2007-07";"EURIBOR";"4.26"
"2007-08";"SARON";"2.3134"
"2007-08";"1TGT";"2.35"
"2007-08";"EG3M";"2.476"
"2007-08";"SOFR";
"2007-08";"3M1";"5.62125"
"2007-08";"TONA";"0.498"
"2007-08";"SONIA";"6.1242"
"2007-08";"3M3";"6.6925"
"2007-08";"ESTR";
"2007-08";"EURIBOR";"4.735"
"2007-09";"SARON";"2.209981"
"2007-09";"1TGT";"2.2"
"2007-09";"EG3M";"2.008"
"2007-09";"SOFR";
"2007-09";"3M1";"5.22875"
"2007-09";"TONA";"0.675"
"2007-09";"SONIA";"5.9288"
"2007-09";"3M3";"6.30375"
"2007-09";"ESTR";
"2007-09";"EURIBOR";"4.792"
"2007-10";"SARON";"2.118889"
"2007-10";"1TGT";"2.09"
"2007-10";"EG3M";"1.896"
"2007-10";"SOFR";
"2007-10";"3M1";"4.89375"
"2007-10";"TONA";"0.524"
"2007-10";"SONIA";"5.8079"
"2007-10";"3M3";"6.27938"
"2007-10";"ESTR";
"2007-10";"EURIBOR";"4.603"
"2007-11";"SARON";"2.115592"
"2007-11";"1TGT";"2.06"
"2007-11";"EG3M";"2.052"
"2007-11";"SOFR";
"2007-11";"3M1";"5.13125"
"2007-11";"TONA";"0.52"
"2007-11";"SONIA";"5.8799"
"2007-11";"3M3";"6.60625"
"2007-11";"ESTR";
"2007-11";"EURIBOR";"4.81"
"2007-12";"SARON";"1.873853"
"2007-12";"1TGT";"2"
"2007-12";"EG3M";"2.044"
"2007-12";"SOFR";
"2007-12";"3M1";"4.7025"
"2007-12";"TONA";"0.459"
"2007-12";"SONIA";"5.7799"
"2007-12";"3M3";"5.99375"
"2007-12";"ESTR";
"2007-12";"EURIBOR";"4.684"
"2008-01";"SARON";"2.241335"
"2008-01";"1TGT";"2.38"
"2008-01";"EG3M";"2.085"
"2008-01";"SOFR";
"2008-01";"3M1";"3.11188"
"2008-01";"TONA";"0.508"
"2008-01";"SONIA";"5.5156"
"2008-01";"3M3";"5.58"
"2008-01";"ESTR";
"2008-01";"EURIBOR";"4.374"
"2008-02";"SARON";"2.240998"
"2008-02";"1TGT";"2.32"
"2008-02";"EG3M";"2.104"
"2008-02";"SOFR";
"2008-02";"3M1";"3.0575"
"2008-02";"TONA";"0.512"
"2008-02";"SONIA";"5.2976"
"2008-02";"3M3";"5.73875"
"2008-02";"ESTR";
"2008-02";"EURIBOR";"4.384"
"2008-03";"SARON";"1.894609"
"2008-03";"1TGT";"2.62"
"2008-03";"EG3M";"1.585"
"2008-03";"SOFR";
"2008-03";"3M1";"2.68813"
"2008-03";"TONA";"0.641"
"2008-03";"SONIA";"5.4267"
"2008-03";"3M3";"6.00813"
"2008-03";"ESTR";
"2008-03";"EURIBOR";"4.727"
"2008-04";"SARON";"1.850478"
"2008-04";"1TGT";"1.83"
"2008-04";"EG3M";"1.502"
"2008-04";"SOFR";
"2008-04";"3M1";"2.85"
"2008-04";"TONA";"0.522"
"2008-04";"SONIA";"5.0476"
"2008-04";"3M3";"5.83875"
"2008-04";"ESTR";
"2008-04";"EURIBOR";"4.857"
"2008-05";"SARON";"1.796851"
"2008-05";"1TGT";"1.95"
"2008-05";"EG3M";"1.485"
"2008-05";"SOFR";
"2008-05";"3M1";"2.68063"
"2008-05";"TONA";"0.527"
"2008-05";"SONIA";"5.0654"
"2008-05";"3M3";"5.86688"
"2008-05";"ESTR";
"2008-05";"EURIBOR";"4.864"
"2008-06";"SARON";"1.860357"
"2008-06";"1TGT";"1.82"
"2008-06";"EG3M";"1.788"
"2008-06";"SOFR";
"2008-06";"3M1";"2.78313"
"2008-06";"TONA";"0.572"
"2008-06";"SONIA";"5.288"
"2008-06";"3M3";"5.94625"
"2008-06";"ESTR";
"2008-06";"EURIBOR";"4.947"
"2008-07";"SARON";"1.955679"
"2008-07";"1TGT";"1.97"
"2008-07";"EG3M";"1.413"
"2008-07";"SOFR";
"2008-07";"3M1";"2.79125"
"2008-07";"TONA";"0.519"
"2008-07";"SONIA";"4.9592"
"2008-07";"3M3";"5.78313"
"2008-07";"ESTR";
"2008-07";"EURIBOR";"4.968"
"2008-08";"SARON";"1.933609"
"2008-08";"1TGT";"1.98"
"2008-08";"EG3M";"1.521"
"2008-08";"SOFR";
"2008-08";"3M1";"2.81063"
"2008-08";"TONA";"0.516"
"2008-08";"SONIA";"5.035"
"2008-08";"3M3";"5.75313"
"2008-08";"ESTR";
"2008-08";"EURIBOR";"4.963"
"2008-09";"SARON";"1.666335"
"2008-09";"1TGT";"1.7"
"2008-09";"EG3M";"0.004"
"2008-09";"SOFR";
"2008-09";"3M1";"4.0525"
"2008-09";"TONA";"0.544"
"2008-09";"SONIA";"5.0906"
"2008-09";"3M3";"6.3"
"2008-09";"ESTR";
"2008-09";"EURIBOR";"5.277"
"2008-10";"SARON";"0.522862"
"2008-10";"1TGT";"0.3"
"2008-10";"EG3M";"0"
"2008-10";"SOFR";
"2008-10";"3M1";"3.02625"
"2008-10";"TONA";"0.384"
"2008-10";"SONIA";"4.2961"
"2008-10";"3M3";"5.84125"
"2008-10";"ESTR";
"2008-10";"EURIBOR";"4.76"
"2008-11";"SARON";"0.03909"
"2008-11";"1TGT";"0.05"
"2008-11";"EG3M";"0.348"
"2008-11";"SOFR";
"2008-11";"3M1";"2.21688"
"2008-11";"TONA";"0.318"
"2008-11";"SONIA";"2.646"
"2008-11";"3M3";"3.91"
"2008-11";"ESTR";
"2008-11";"EURIBOR";"3.853"
"2008-12";"SARON";"0.019608"
"2008-12";"1TGT";"0.01"
"2008-12";"EG3M";"0"
"2008-12";"SOFR";
"2008-12";"3M1";"1.425"
"2008-12";"TONA";"0.103"
"2008-12";"SONIA";"1.5373"
"2008-12";"3M3";"2.77"
"2008-12";"ESTR";
"2008-12";"EURIBOR";"2.892"
"2009-01";"SARON";"0.080879"
"2009-01";"1TGT";"0"
"2009-01";"EG3M";"0"
"2009-01";"SOFR";
"2009-01";"3M1";"1.18438"
"2009-01";"TONA";"0.128"
"2009-01";"SONIA";"1.3414"
"2009-01";"3M3";"2.16563"
"2009-01";"ESTR";
"2009-01";"EURIBOR";"2.086"
"2009-02";"SARON";"0.035864"
"2009-02";"1TGT";"0"
"2009-02";"EG3M";"0"
"2009-02";"SOFR";
"2009-02";"3M1";"1.26438"
"2009-02";"TONA";"0.109"
"2009-02";"SONIA";"0.9025"
"2009-02";"3M3";"2.04938"
"2009-02";"ESTR";
"2009-02";"EURIBOR";"1.825"
"2009-03";"SARON";"0.031394"
"2009-03";"1TGT";"0.05"
"2009-03";"EG3M";"0"
"2009-03";"SOFR";
"2009-03";"3M1";"1.19188"
"2009-03";"TONA";"0.088"
"2009-03";"SONIA";"0.5027"
"2009-03";"3M3";"1.64875"
"2009-03";"ESTR";
"2009-03";"EURIBOR";"1.51"
"2009-04";"SARON";"0.03359"
"2009-04";"1TGT";"0.05"
"2009-04";"EG3M";"0"
"2009-04";"SOFR";
"2009-04";"3M1";"1.01625"
"2009-04";"TONA";"0.113"
"2009-04";"SONIA";"0.405"
"2009-04";"3M3";"1.45188"
"2009-04";"ESTR";
"2009-04";"EURIBOR";"1.365"
"2009-05";"SARON";"0.034996"
"2009-05";"1TGT";"0.05"
"2009-05";"EG3M";"0"
"2009-05";"SOFR";
"2009-05";"3M1";"0.65625"
"2009-05";"TONA";"0.099"
"2009-05";"SONIA";"0.4301"
"2009-05";"3M3";"1.27813"
"2009-05";"ESTR";
"2009-05";"EURIBOR";"1.269"
"2009-06";"SARON";"0.020048"
"2009-06";"1TGT";"0.05"
"2009-06";"EG3M";"0"
"2009-06";"SOFR";
"2009-06";"3M1";"0.595"
"2009-06";"TONA";"0.11"
"2009-06";"SONIA";"0.3711"
"2009-06";"3M3";"1.18625"
"2009-06";"ESTR";
"2009-06";"EURIBOR";"1.099"
"2009-07";"SARON";"0.016977"
"2009-07";"1TGT";"0.05"
"2009-07";"EG3M";"0"
"2009-07";"SOFR";
"2009-07";"3M1";"0.47938"
"2009-07";"TONA";"0.105"
"2009-07";"SONIA";"0.4178"
"2009-07";"3M3";"0.8875"
"2009-07";"ESTR";
"2009-07";"EURIBOR";"0.893"
"2009-08";"SARON";"0.018446"
"2009-08";"1TGT";"0.05"
"2009-08";"EG3M";"0"
"2009-08";"SOFR";
"2009-08";"3M1";"0.3475"
"2009-08";"TONA";"0.11"
"2009-08";"SONIA";"0.4352"
"2009-08";"3M3";"0.69"
"2009-08";"ESTR";
"2009-08";"EURIBOR";"0.821"
"2009-09";"SARON";"0.024256"
"2009-09";"1TGT";"0.05"
"2009-09";"EG3M";"0"
"2009-09";"SOFR";
"2009-09";"3M1";"0.28688"
"2009-09";"TONA";"0.103"
"2009-09";"SONIA";"0.4203"
"2009-09";"3M3";"0.54188"
"2009-09";"ESTR";
"2009-09";"EURIBOR";"0.753"
"2009-10";"SARON";"0.045043"
"2009-10";"1TGT";"0.05"
"2009-10";"EG3M";"0"
"2009-10";"SOFR";
"2009-10";"3M1";"0.28063"
"2009-10";"TONA";"0.112"
"2009-10";"SONIA";"0.4489"
"2009-10";"3M3";"0.59125"
"2009-10";"ESTR";
"2009-10";"EURIBOR";"0.72"
"2009-11";"SARON";"0.043573"
"2009-11";"1TGT";"0.05"
"2009-11";"EG3M";"0"
"2009-11";"SOFR";
"2009-11";"3M1";"0.25656"
"2009-11";"TONA";"0.113"
"2009-11";"SONIA";"0.4499"
"2009-11";"3M3";"0.61188"
"2009-11";"ESTR";
"2009-11";"EURIBOR";"0.719"
"2009-12";"SARON";"0.031984"
"2009-12";"1TGT";"0.05"
"2009-12";"EG3M";"0"
"2009-12";"SOFR";
"2009-12";"3M1";"0.25063"
"2009-12";"TONA";"0.094"
"2009-12";"SONIA";"0.4434"
"2009-12";"3M3";"0.605"
"2009-12";"ESTR";
"2009-12";"EURIBOR";"0.7"
"2010-01";"SARON";"0.027068"
"2010-01";"1TGT";"0.05"
"2010-01";"EG3M";"0"
"2010-01";"SOFR";
"2010-01";"3M1";"0.24906"
"2010-01";"TONA";"0.095"
"2010-01";"SONIA";"0.4679"
"2010-01";"3M3";"0.61625"
"2010-01";"ESTR";
"2010-01";"EURIBOR";"0.665"
"2010-02";"SARON";"0.037635"
"2010-02";"1TGT";"0.05"
"2010-02";"EG3M";"0"
"2010-02";"SOFR";
"2010-02";"3M1";"0.25169"
"2010-02";"TONA";"0.097"
"2010-02";"SONIA";"0.4708"
"2010-02";"3M3";"0.6425"
"2010-02";"ESTR";
"2010-02";"EURIBOR";"0.656"
"2010-03";"SARON";"0.052509"
"2010-03";"1TGT";"0.05"
"2010-03";"EG3M";"0"
"2010-03";"SOFR";
"2010-03";"3M1";"0.2915"
"2010-03";"TONA";"0.082"
"2010-03";"SONIA";"0.4707"
"2010-03";"3M3";"0.64719"
"2010-03";"ESTR";
"2010-03";"EURIBOR";"0.634"
"2010-04";"SARON";"0.027666"
"2010-04";"1TGT";"0.05"
"2010-04";"EG3M";"0"
"2010-04";"SOFR";
"2010-04";"3M1";"0.34656"
"2010-04";"TONA";"0.096"
"2010-04";"SONIA";"0.4769"
"2010-04";"3M3";"0.67719"
"2010-04";"ESTR";
"2010-04";"EURIBOR";"0.663"
"2010-05";"SARON";"0.016089"
"2010-05";"1TGT";"0.02"
"2010-05";"EG3M";"0"
"2010-05";"SOFR";
"2010-05";"3M1";"0.53625"
"2010-05";"TONA";"0.089"
"2010-05";"SONIA";"0.4833"
"2010-05";"3M3";"0.71063"
"2010-05";"ESTR";
"2010-05";"EURIBOR";"0.701"
"2010-06";"SARON";"0.059386"
"2010-06";"1TGT";"0.03"
"2010-06";"EG3M";"0"
"2010-06";"SOFR";
"2010-06";"3M1";"0.53394"
"2010-06";"TONA";"0.096"
"2010-06";"SONIA";"0.5005"
"2010-06";"3M3";"0.73031"
"2010-06";"ESTR";
"2010-06";"EURIBOR";"0.767"
"2010-07";"SARON";"0.079548"
"2010-07";"1TGT";"0.05"
"2010-07";"EG3M";"0"
"2010-07";"SOFR";
"2010-07";"3M1";"0.45375"
"2010-07";"TONA";"0.098"
"2010-07";"SONIA";"0.4916"
"2010-07";"3M3";"0.74516"
"2010-07";"ESTR";
"2010-07";"EURIBOR";"0.896"
"2010-08";"SARON";"0.318768"
"2010-08";"1TGT";"0.08"
"2010-08";"EG3M";"0.158"
"2010-08";"SOFR";
"2010-08";"3M1";"0.29563"
"2010-08";"TONA";"0.095"
"2010-08";"SONIA";"0.5007"
"2010-08";"3M3";"0.72547"
"2010-08";"ESTR";
"2010-08";"EURIBOR";"0.886"
"2010-09";"SARON";"0.093595"
"2010-09";"1TGT";"0.08"
"2010-09";"EG3M";"0.079"
"2010-09";"SOFR";
"2010-09";"3M1";"0.29"
"2010-09";"TONA";"0.113"
"2010-09";"SONIA";"0.5227"
"2010-09";"3M3";"0.73225"
"2010-09";"ESTR";
"2010-09";"EURIBOR";"0.892"
"2010-10";"SARON";"0.058606"
"2010-10";"1TGT";"0.05"
"2010-10";"EG3M";"0"
"2010-10";"SOFR";
"2010-10";"3M1";"0.28594"
"2010-10";"TONA";"0.093"
"2010-10";"SONIA";"0.5124"
"2010-10";"3M3";"0.741"
"2010-10";"ESTR";
"2010-10";"EURIBOR";"1.045"
"2010-11";"SARON";"0.15866"
"2010-11";"1TGT";"0.04"
"2010-11";"EG3M";"0.04"
"2010-11";"SOFR";
"2010-11";"3M1";"0.30031"
"2010-11";"TONA";"0.09"
"2010-11";"SONIA";"0.524"
"2010-11";"3M3";"0.73875"
"2010-11";"ESTR";
"2010-11";"EURIBOR";"1.028"
"2010-12";"SARON";"0.050282"
"2010-12";"1TGT";"0.04"
"2010-12";"EG3M";"0.04"
"2010-12";"SOFR";
"2010-12";"3M1";"0.30281"
"2010-12";"TONA";"0.079"
"2010-12";"SONIA";"0.5564"
"2010-12";"3M3";"0.7575"
"2010-12";"ESTR";
"2010-12";"EURIBOR";"1.006"
"2011-01";"SARON";"0.10152"
"2011-01";"1TGT";"0.04"
"2011-01";"EG3M";"0.079"
"2011-01";"SOFR";
"2011-01";"3M1";"0.30438"
"2011-01";"TONA";"0.087"
"2011-01";"SONIA";"0.5108"
"2011-01";"3M3";"0.77688"
"2011-01";"ESTR";
"2011-01";"EURIBOR";"1.074"
"2011-02";"SARON";"0.078858"
"2011-02";"1TGT";"0.04"
"2011-02";"EG3M";"0.079"
"2011-02";"SOFR";
"2011-02";"3M1";"0.3095"
"2011-02";"TONA";"0.091"
"2011-02";"SONIA";"0.5136"
"2011-02";"3M3";"0.8025"
"2011-02";"ESTR";
"2011-02";"EURIBOR";"1.094"
"2011-03";"SARON";"0.083753"
"2011-03";"1TGT";"0.04"
"2011-03";"EG3M";"0.079"
"2011-03";"SOFR";
"2011-03";"3M1";"0.303"
"2011-03";"TONA";"0.062"
"2011-03";"SONIA";"0.5396"
"2011-03";"3M3";"0.81813"
"2011-03";"ESTR";
"2011-03";"EURIBOR";"1.239"
"2011-04";"SARON";"0.030437"
"2011-04";"1TGT";"0.04"
"2011-04";"EG3M";"0.119"
"2011-04";"SOFR";
"2011-04";"3M1";"0.273"
"2011-04";"TONA";"0.064"
"2011-04";"SONIA";"0.5572"
"2011-04";"3M3";"0.82188"
"2011-04";"ESTR";
"2011-04";"EURIBOR";"1.385"
"2011-05";"SARON";"0.02816"
"2011-05";"1TGT";"0.09"
"2011-05";"EG3M";"0.08"
"2011-05";"SOFR";
"2011-05";"3M1";"0.25288"
"2011-05";"TONA";"0.067"
"2011-05";"SONIA";"0.5418"
"2011-05";"3M3";"0.82625"
"2011-05";"ESTR";
"2011-05";"EURIBOR";"1.433"
"2011-06";"SARON";"0.07111"
"2011-06";"1TGT";"0.09"
"2011-06";"EG3M";"0.079"
"2011-06";"SOFR";
"2011-06";"3M1";"0.24575"
"2011-06";"TONA";"0.067"
"2011-06";"SONIA";"0.7368"
"2011-06";"3M3";"0.82563"
"2011-06";"ESTR";
"2011-06";"EURIBOR";"1.547"
"2011-07";"SARON";"0.05025"
"2011-07";"1TGT";"0.05"
"2011-07";"EG3M";"0"
"2011-07";"SOFR";
"2011-07";"3M1";"0.2555"
"2011-07";"TONA";"0.078"
"2011-07";"SONIA";"0.5562"
"2011-07";"3M3";"0.83281"
"2011-07";"ESTR";
"2011-07";"EURIBOR";"1.609"
"2011-08";"SARON";"-0.009758"
"2011-08";"1TGT";"-0.29"
"2011-08";"EG3M";"-0.75"
"2011-08";"SOFR";
"2011-08";"3M1";"0.32722"
"2011-08";"TONA";"0.075"
"2011-08";"SONIA";"0.567"
"2011-08";"3M3";"0.88625"
"2011-08";"ESTR";
"2011-08";"EURIBOR";"1.542"
"2011-09";"SARON";"0.008339"
"2011-09";"1TGT";"0.02"
"2011-09";"EG3M";"-0.652"
"2011-09";"SOFR";
"2011-09";"3M1";"0.37433"
"2011-09";"TONA";"0.075"
"2011-09";"SONIA";"0.6487"
"2011-09";"3M3";"0.9525"
"2011-09";"ESTR";
"2011-09";"EURIBOR";"1.554"
"2011-10";"SARON";"0.002873"
"2011-10";"1TGT";"0.05"
"2011-10";"EG3M";"-0.051"
"2011-10";"SOFR";
"2011-10";"3M1";"0.42944"
"2011-10";"TONA";"0.081"
"2011-10";"SONIA";"0.527"
"2011-10";"3M3";"0.98669"
"2011-10";"ESTR";
"2011-10";"EURIBOR";"1.591"
"2011-11";"SARON";"0.02014"
"2011-11";"1TGT";"0.05"
"2011-11";"EG3M";"-0.316"
"2011-11";"SOFR";
"2011-11";"3M1";"0.52889"
"2011-11";"TONA";"0.081"
"2011-11";"SONIA";"0.5327"
"2011-11";"3M3";"1.03825"
"2011-11";"ESTR";
"2011-11";"EURIBOR";"1.473"
"2011-12";"SARON";"0.018136"
"2011-12";"1TGT";"0.07"
"2011-12";"EG3M";"-0.47"
"2011-12";"SOFR";
"2011-12";"3M1";"0.581"
"2011-12";"TONA";"0.075"
"2011-12";"SONIA";"0.4578"
"2011-12";"3M3";"1.08006"
"2011-12";"ESTR";
"2011-12";"EURIBOR";"1.356"
"2012-01";"SARON";"-0.012948"
"2012-01";"1TGT";"0.01"
"2012-01";"EG3M";"-0.051"
"2012-01";"SOFR";
"2012-01";"3M1";"0.54235"
"2012-01";"TONA";"0.075"
"2012-01";"SONIA";"0.51"
"2012-01";"3M3";"1.083"
"2012-01";"ESTR";
"2012-01";"EURIBOR";"1.125"
"2012-02";"SARON";"-0.001064"
"2012-02";"1TGT";"0.03"
"2012-02";"EG3M";"-0.099"
"2012-02";"SOFR";
"2012-02";"3M1";"0.48425"
"2012-02";"TONA";"0.081"
"2012-02";"SONIA";"0.5047"
"2012-02";"3M3";"1.05963"
"2012-02";"ESTR";
"2012-02";"EURIBOR";"0.983"
"2012-03";"SARON";"0.007232"
"2012-03";"1TGT";"0.05"
"2012-03";"EG3M";"-0.099"
"2012-03";"SOFR";
"2012-03";"3M1";"0.46815"
"2012-03";"TONA";"0.076"
"2012-03";"SONIA";"0.4775"
"2012-03";"3M3";"1.02688"
"2012-03";"ESTR";
"2012-03";"EURIBOR";"0.777"
"2012-04";"SARON";"-0.017135"
"2012-04";"1TGT";"0.02"
"2012-04";"EG3M";"-0.158"
"2012-04";"SOFR";
"2012-04";"3M1";"0.46585"
"2012-04";"TONA";"0.08"
"2012-04";"SONIA";"0.4785"
"2012-04";"3M3";"1.0125"
"2012-04";"ESTR";
"2012-04";"EURIBOR";"0.708"
"2012-05";"SARON";"0.016374"
"2012-05";"1TGT";"0"
"2012-05";"EG3M";"-0.62"
"2012-05";"SOFR";
"2012-05";"3M1";"0.46685"
"2012-05";"TONA";"0.095"
"2012-05";"SONIA";"0.4939"
"2012-05";"3M3";"0.99313"
"2012-05";"ESTR";
"2012-05";"EURIBOR";"0.668"
"2012-06";"SARON";"0.027838"
"2012-06";"1TGT";"0"
"2012-06";"EG3M";"-0.849"
"2012-06";"SOFR";
"2012-06";"3M1";"0.4606"
"2012-06";"TONA";"0.076"
"2012-06";"SONIA";"0.4586"
"2012-06";"3M3";"0.895"
"2012-06";"ESTR";
"2012-06";"EURIBOR";"0.653"
"2012-07";"SARON";"-0.057817"
"2012-07";"1TGT";"0"
"2012-07";"EG3M";"-0.616"
"2012-07";"SOFR";
"2012-07";"3M1";"0.4426"
"2012-07";"TONA";"0.09"
"2012-07";"SONIA";"0.4553"
"2012-07";"3M3";"0.74375"
"2012-07";"ESTR";
"2012-07";"EURIBOR";"0.389"
"2012-08";"SARON";"-0.023866"
"2012-08";"1TGT";"-0.05"
"2012-08";"EG3M";"-0.352"
"2012-08";"SOFR";
"2012-08";"3M1";"0.41825"
"2012-08";"TONA";"0.093"
"2012-08";"SONIA";"0.4298"
"2012-08";"3M3";"0.68125"
"2012-08";"ESTR";
"2012-08";"EURIBOR";"0.278"
"2012-09";"SARON";"0.022813"
"2012-09";"1TGT";"0.01"
"2012-09";"EG3M";"-0.221"
"2012-09";"SOFR";
"2012-09";"3M1";"0.3585"
"2012-09";"TONA";"0.078"
"2012-09";"SONIA";"0.3938"
"2012-09";"3M3";"0.59688"
"2012-09";"ESTR";
"2012-09";"EURIBOR";"0.22"
"2012-10";"SARON";"-0.027541"
"2012-10";"1TGT";"0.01"
"2012-10";"EG3M";"-0.221"
"2012-10";"SOFR";
"2012-10";"3M1";"0.31275"
"2012-10";"TONA";"0.089"
"2012-10";"SONIA";"0.4088"
"2012-10";"3M3";"0.5275"
"2012-10";"ESTR";
"2012-10";"EURIBOR";"0.197"
"2012-11";"SARON";"0.04"
"2012-11";"1TGT";"-0.05"
"2012-11";"EG3M";"-0.198"
"2012-11";"SOFR";
"2012-11";"3M1";"0.3105"
"2012-11";"TONA";"0.091"
"2012-11";"SONIA";"0.4327"
"2012-11";"3M3";"0.5225"
"2012-11";"ESTR";
"2012-11";"EURIBOR";"0.191"
"2012-12";"SARON";"0.032766"
"2012-12";"1TGT";"-0.2"
"2012-12";"EG3M";"-0.217"
"2012-12";"SOFR";
"2012-12";"3M1";"0.306"
"2012-12";"TONA";"0.076"
"2012-12";"SONIA";"0.4275"
"2012-12";"3M3";"0.515"
"2012-12";"ESTR";
"2012-12";"EURIBOR";"0.187"
"2013-01";"SARON";"-0.028182"
"2013-01";"1TGT";"-0.15"
"2013-01";"EG3M";"-0.087"
"2013-01";"SOFR";
"2013-01";"3M1";"0.298"
"2013-01";"TONA";"0.082"
"2013-01";"SONIA";"0.4082"
"2013-01";"3M3";"0.51125"
"2013-01";"ESTR";
"2013-01";"EURIBOR";"0.232"
"2013-02";"SARON";"-0.035067"
"2013-02";"1TGT";"-0.2"
"2013-02";"EG3M";"-0.103"
"2013-02";"SOFR";
"2013-02";"3M1";"0.2871"
"2013-02";"TONA";"0.083"
"2013-02";"SONIA";"0.4339"
"2013-02";"3M3";"0.50813"
"2013-02";"ESTR";
"2013-02";"EURIBOR";"0.209"
"2013-03";"SARON";"-0.017292"
"2013-03";"1TGT";"-0.1"
"2013-03";"EG3M";"-0.123"
"2013-03";"SOFR";
"2013-03";"3M1";"0.2826"
"2013-03";"TONA";"0.058"
"2013-03";"SONIA";"0.4203"
"2013-03";"3M3";"0.50688"
"2013-03";"ESTR";
"2013-03";"EURIBOR";"0.211"
"2013-04";"SARON";"-0.008163"
"2013-04";"1TGT";"0.06"
"2013-04";"EG3M";"-0.125"
"2013-04";"SOFR";
"2013-04";"3M1";"0.2731"
"2013-04";"TONA";"0.071"
"2013-04";"SONIA";"0.4337"
"2013-04";"3M3";"0.50438"
"2013-04";"ESTR";
"2013-04";"EURIBOR";"0.207"
"2013-05";"SARON";"-0.024285"
"2013-05";"1TGT";"-0.03"
"2013-05";"EG3M";"-0.123"
"2013-05";"SOFR";
"2013-05";"3M1";"0.27525"
"2013-05";"TONA";"0.073"
"2013-05";"SONIA";"0.4204"
"2013-05";"3M3";"0.50563"
"2013-05";"ESTR";
"2013-05";"EURIBOR";"0.2"
"2013-06";"SARON";"0.004224"
"2013-06";"1TGT";"-0.03"
"2013-06";"EG3M";"-0.134"
"2013-06";"SOFR";
"2013-06";"3M1";"0.2731"
"2013-06";"TONA";"0.07"
"2013-06";"SONIA";"0.3919"
"2013-06";"3M3";"0.51038"
