"CubeId";"zimoma"
"PublishingDate";"2024-11-01 14:30"

"Date";"D0";"Value"
"2001-07";"3M1";"3.67"
"2001-07";"TONA";"0.02"
"2001-07";"SONIA";"5.8914"
"2001-07";"3M3";"5.24625"
"2001-07";"ESTR";
"2001-07";"EURIBOR";"4.444"
"2001-08";"SARON";"3.123531"
"2001-08";"1TGT";"3.3"
"2001-08";"EG3M";"3.03"
"2001-08";"SOFR";
"2001-08";"3M1";"3.4625"
"2001-08";"TONA";"0.01"
"2001-08";"SONIA";"4.253"
"2001-08";"3M3";"4.93375"
"2001-08";"ESTR";
"2001-08";"EURIBOR";"4.253"
"2001-09";"SARON";"2.027698"
"2001-09";"1TGT";"2.12"
"2001-09";"EG3M";"2.032"
"2001-09";"SOFR";
"2001-09";"3M1";"2.59"
"2001-09";"TONA";"0.003"
"2001-09";"SONIA";"5.1683"
"2001-09";"3M3";"4.52656"
"2001-09";"ESTR";
"2001-09";"EURIBOR";"3.656"
"2001-10";"SARON";"2.118133"
"2001-10";"1TGT";"2.15"
"2001-10";"EG3M";"1.992"
"2001-10";"SOFR";
"2001-10";"3M1";"2.2"
"2001-10";"TONA";"0.003"
"2001-10";"SONIA";"3.8263"
"2001-10";"3M3";"4.22125"
"2001-10";"ESTR";
"2001-10";"EURIBOR";"3.522"
"2001-11";"SARON";"1.960142"
"2001-11";"1TGT";"2.18"
"2001-11";"EG3M";"1.948"
"2001-11";"SOFR";
"2001-11";"3M1";"2.03188"
"2001-11";"TONA";"0.003"
"2001-11";"SONIA";"3.8098"
"2001-11";"3M3";"4.02375"
"2001-11";"ESTR";
"2001-11";"EURIBOR";"3.36"
"2001-12";"SARON";"1.469348"
"2001-12";"1TGT";"1.65"
"2001-12";"EG3M";"1.653"
"2001-12";"SOFR";
"2001-12";"3M1";"1.88125"
"2001-12";"TONA";"0.002"
"2001-12";"SONIA";"4.9451"
"2001-12";"3M3";"4.09719"
"2001-12";"ESTR";
"2001-12";"EURIBOR";"3.294"
"2002-01";"SARON";"1.203506"
"2002-01";"1TGT";"1.42"
"2002-01";"EG3M";"1.589"
"2002-01";"SOFR";
"2002-01";"3M1";"1.88"
"2002-01";"TONA";"0.001"
"2002-01";"SONIA";"4.1909"
"2002-01";"3M3";"4.0575"
"2002-01";"ESTR";
"2002-01";"EURIBOR";"3.371"
"2002-02";"SARON";"1.571053"
"2002-02";"1TGT";"1.68"
"2002-02";"EG3M";"1.553"
"2002-02";"SOFR";
"2002-02";"3M1";"1.9"
"2002-02";"TONA";"0.001"
"2002-02";"SONIA";"4.0151"
"2002-02";"3M3";"4.05625"
"2002-02";"ESTR";
"2002-02";"EURIBOR";"3.366"
"2002-03";"SARON";"1.202675"
"2002-03";"1TGT";"1.32"
"2002-03";"EG3M";"1.529"
"2002-03";"SOFR";
"2002-03";"3M1";"2.03"
"2002-03";"TONA";"0.012"
"2002-03";"SONIA";"3.2728"
"2002-03";"3M3";"4.18688"
"2002-03";"ESTR";
"2002-03";"EURIBOR";"3.448"
"2002-04";"SARON";"1.418686"
"2002-04";"1TGT";"1.51"
"2002-04";"EG3M";"1.441"
"2002-04";"SOFR";
"2002-04";"3M1";"1.92"
"2002-04";"TONA";"0.002"
"2002-04";"SONIA";"4.8749"
"2002-04";"3M3";"4.15031"
"2002-04";"ESTR";
"2002-04";"EURIBOR";"3.385"
"2002-05";"SARON";"0.974746"
"2002-05";"1TGT";"1.03"
"2002-05";"EG3M";"1.151"
"2002-05";"SOFR";
"2002-05";"3M1";"1.89625"
"2002-05";"TONA";"0.002"
"2002-05";"SONIA";"3.998"
"2002-05";"3M3";"4.19063"
"2002-05";"ESTR";
"2002-05";"EURIBOR";"3.485"
"2002-06";"SARON";"0.937309"
"2002-06";"1TGT";"1.02"
"2002-06";"EG3M";"1.079"
"2002-06";"SOFR";
"2002-06";"3M1";"1.86"
"2002-06";"TONA";"0.002"
"2002-06";"SONIA";"3.3156"
"2002-06";"3M3";"4.14656"
"2002-06";"ESTR";
"2002-06";"EURIBOR";"3.441"
"2002-07";"SARON";"0.703175"
"2002-07";"1TGT";"0.64"
"2002-07";"EG3M";"0.553"
"2002-07";"SOFR";
"2002-07";"3M1";"1.82375"
"2002-07";"TONA";"0.001"
"2002-07";"SONIA";"4.8134"
"2002-07";"3M3";"4.0025"
"2002-07";"ESTR";
"2002-07";"EURIBOR";"3.377"
"2002-08";"SARON";"0.603556"
"2002-08";"1TGT";"0.6"
"2002-08";"EG3M";"0.57"
"2002-08";"SOFR";
"2002-08";"3M1";"1.80625"
"2002-08";"TONA";"0.002"
"2002-08";"SONIA";"4.3178"
"2002-08";"3M3";"4.00875"
"2002-08";"ESTR";
"2002-08";"EURIBOR";"3.358"
"2002-09";"SARON";"0.50856"
"2002-09";"1TGT";"0.65"
"2002-09";"EG3M";"0.549"
"2002-09";"SOFR";
"2002-09";"3M1";"1.79"
"2002-09";"TONA";"0.067"
"2002-09";"SONIA";"3.3924"
"2002-09";"3M3";"3.94063"
"2002-09";"ESTR";
"2002-09";"EURIBOR";"3.297"
"2002-10";"SARON";"0.517184"
"2002-10";"1TGT";"0.53"
"2002-10";"EG3M";"0.495"
"2002-10";"SOFR";
"2002-10";"3M1";"1.68625"
"2002-10";"TONA";"0.002"
"2002-10";"SONIA";"3.4606"
"2002-10";"3M3";"3.95"
"2002-10";"ESTR";
"2002-10";"EURIBOR";"3.259"
"2002-11";"SARON";"0.506908"
"2002-11";"1TGT";"0.59"
"2002-11";"EG3M";"0.44"
"2002-11";"SOFR";
"2002-11";"3M1";"1.425"
"2002-11";"TONA";"0.002"
"2002-11";"SONIA";"4.4397"
"2002-11";"3M3";"4.03141"
"2002-11";"ESTR";
"2002-11";"EURIBOR";"3.047"
"2002-12";"SARON";"0.362647"
"2002-12";"1TGT";"0.44"
"2002-12";"EG3M";"0.276"
"2002-12";"SOFR";
"2002-12";"3M1";"1.38"
"2002-12";"TONA";"0.002"
"2002-12";"SONIA";"4.824"
"2002-12";"3M3";"4.0225"
"2002-12";"ESTR";
"2002-12";"EURIBOR";"2.865"
"2003-01";"SARON";"0.486557"
"2003-01";"1TGT";"0.48"
"2003-01";"EG3M";"0.239"
"2003-01";"SOFR";
"2003-01";"3M1";"1.35"
"2003-01";"TONA";"0.001"
"2003-01";"SONIA";"4.1671"
"2003-01";"3M3";"3.9625"
"2003-01";"ESTR";
"2003-01";"EURIBOR";"2.807"
"2003-02";"SARON";"0.562408"
"2003-02";"1TGT";"0.49"
"2003-02";"EG3M";"0.4"
"2003-02";"SOFR";
"2003-02";"3M1";"1.34"
"2003-02";"TONA";"0.001"
"2003-02";"SONIA";"3.4409"
"2003-02";"3M3";"3.68344"
"2003-02";"ESTR";
"2003-02";"EURIBOR";"2.533"
"2003-03";"SARON";"0.177559"
"2003-03";"1TGT";"0.17"
"2003-03";"EG3M";"0.17"
"2003-03";"SOFR";
"2003-03";"3M1";"1.27875"
"2003-03";"TONA";"0.021"
"2003-03";"SONIA";"4.4736"
"2003-03";"3M3";"3.65703"
"2003-03";"ESTR";
"2003-03";"EURIBOR";"2.522"
"2003-04";"SARON";"0.094747"
"2003-04";"1TGT";"0.11"
"2003-04";"EG3M";"0.132"
"2003-04";"SOFR";
"2003-04";"3M1";"1.31"
"2003-04";"TONA";"0.002"
"2003-04";"SONIA";"3.7494"
"2003-04";"3M3";"3.62188"
"2003-04";"ESTR";
"2003-04";"EURIBOR";"2.53"
"2003-05";"SARON";"0.13474"
"2003-05";"1TGT";"0.1"
"2003-05";"EG3M";"0.14"
"2003-05";"SOFR";
"2003-05";"3M1";"1.28"
"2003-05";"TONA";"0.002"
"2003-05";"SONIA";"3.9286"
"2003-05";"3M3";"3.62563"
"2003-05";"ESTR";
"2003-05";"EURIBOR";"2.272"
"2003-06";"SARON";"0.14823"
"2003-06";"1TGT";"0.13"
"2003-06";"EG3M";"0.119"
"2003-06";"SOFR";
"2003-06";"3M1";"1.11625"
"2003-06";"TONA";"0.001"
"2003-06";"SONIA";"3.284"
"2003-06";"3M3";"3.64125"
"2003-06";"ESTR";
"2003-06";"EURIBOR";"2.147"
"2003-07";"SARON";"0.111008"
"2003-07";"1TGT";"0.08"
